playerId,year,school_name,conf_abbr,class,pos,g,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced
morgan-trent-1,2007,Michigan,Big Ten,SR,DB,13,32,9,41,2.0,0.0,2,0,0.0,0,,,,,
morgan-trent-1,2008,Michigan,Big Ten,SR,DB,12,28,13,41,2.5,0.0,3,0,0.0,0,,,,,
danny-trevathan-1,2008,Kentucky,SEC,FR,LB,13,3,2,5,0.0,0.0,,,,,,,,,
danny-trevathan-1,2009,Kentucky,SEC,SO,LB,13,43,39,82,5.0,0.0,0,0,,0,1,0,0,0,2
danny-trevathan-1,2010,Kentucky,SEC,JR,LB,13,85,59,144,16.0,3.0,0,0,,0,2,0,,,4
danny-trevathan-1,2011,Kentucky,SEC,SR,LB,12,67,76,143,11.5,3.0,4,73,18.3,0,5,1,,,5
dejuan-tribble-1,2004,Boston College,Big East,FR,DB,8,,,,,,2,-5,-2.5,0,,,,,
dejuan-tribble-1,2005,Boston College,ACC,SO,DB,11,48,9,57,3.0,0.0,2,0,0.0,0,,,,,
dejuan-tribble-1,2006,Boston College,ACC,JR,DB,13,41,8,49,4.0,0.0,7,108,15.4,3,,,,,
dejuan-tribble-1,2007,Boston College,ACC,SR,DB,11,31,4,35,2.0,0.0,4,42,10.5,0,,,,,
nigel-tribune-1,2013,Iowa State,Big 12,FR,DB,10,24,6,30,0.0,0.0,1,-6,-6.0,0,6,0,,,0
nigel-tribune-1,2014,Iowa State,Big 12,SO,DB,11,49,15,64,2.0,0.0,3,17,5.7,0,13,0,,,0
nigel-tribune-1,2015,Iowa State,Big 12,JR,DB,9,29,8,37,1.0,0.0,0,0,,0,7,2,,,2
nigel-tribune-1,2016,Iowa State,Big 12,SR,DB,6,12,2,14,0.5,0.0,0,0,,0,1,0,,,0
louis-trinca-pasat-1,2011,Iowa,Big Ten,SO,DL,1,0,1,1,0.0,0.0,0,0,,0,0,0,,,0
louis-trinca-pasat-1,2012,Iowa,Big Ten,SO,DL,,19,21,40,4.0,0.0,,,,,1,0,0,0,0
louis-trinca-pasat-1,2013,Iowa,Big Ten,JR,DL,12,19,20,39,9.0,2.0,0,0,,0,2,1,,,0
louis-trinca-pasat-1,2014,Iowa,Big Ten,SR,DL,13,29,40,69,12.5,7.0,0,0,,0,3,0,,,0
nathan-triplett-1,2007,Minnesota,Big Ten,SO,LB,12,6,3,9,0.5,0.0,0,0,,0,0,0,0,0,0
nathan-triplett-1,2008,Minnesota,Big Ten,JR,LB,13,18,13,31,1.0,0.0,0,0,,0,2,0,0,0,0
nathan-triplett-1,2009,Minnesota,Big Ten,SR,LB,13,62,43,105,5.0,0.0,2,25,12.5,0,,,52,1,
kiante-tripp-1,2008,Georgia,SEC,SO,OL,11,,,,,,,,,,,,,,
kiante-tripp-1,2009,Georgia,SEC,JR,DL,4,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0
kiante-tripp-1,2010,Georgia,SEC,SR,DL,13,8,5,13,4.0,1.5,0,0,,0,0,0,0,0,0
johnnie-troutman-1,2011,Penn State,Big Ten,SR,OL,13,0,1,1,0.0,0.0,,,,,0,0,0,0,0
desmond-trufant-1,2009,Washington,Pac-10,FR,DB,12,44,3,47,2.0,0.0,2,45,22.5,0,,,17,1,
desmond-trufant-1,2010,Washington,Pac-10,SO,DB,13,34,14,48,1.5,0.5,1,5,5.0,0,,,,,
desmond-trufant-1,2011,Washington,Pac-12,JR,DB,13,46,18,64,0.5,0.5,2,7,3.5,0,,,,,
desmond-trufant-1,2012,Washington,Pac-12,SR,DB,12,27,9,36,4.5,1.0,1,0,0.0,0,,,,,
joe-tryon-1,2018,Washington,Pac-12,FR,LB,10,10,10,20,2.0,1.0,0,0,,0,1,0,,,0
joe-tryon-1,2019,Washington,Pac-12,SO,LB,13,27,14,41,12.5,8.0,0,0,,0,1,0,,,0
joe-tryon-1,2020,Washington,Pac-12,JR,LB,,,,,,,,,,,,,,,
justin-tryon-1,2006,Arizona State,Pac-10,JR,DB,13,37,10,47,2.5,1.0,1,-20,-20.0,0,,,,,
justin-tryon-1,2007,Arizona State,Pac-10,SR,DB,13,43,13,56,1.0,0.0,3,122,40.7,1,,,,,
stevie-tuikolovatu-1,2014,Utah,Pac-12,SO,DT,5,2,6,8,1.0,0.0,0,0,,0,0,0,,,0
stevie-tuikolovatu-1,2015,Utah,Pac-12,JR,DT,10,15,13,28,6.0,2.0,0,0,,0,2,4,37,1,0
stevie-tuikolovatu-1,2016,USC,Pac-12,SR,DT,13,29,24,53,2.0,0.5,0,0,,0,1,0,,,0
bj-tucker-1,2002,Wisconsin,Big Ten,SR,DB,14,,,,,,5,67,13.4,1,,,,,
brett-tucker-1,1987,Northern Illinois,Ind,,DB,11,,,,,,2,52,26.0,0,,,,,
brett-tucker-1,1988,Northern Illinois,Ind,,DB,11,,,,,,5,17,3.4,0,,,,,
brett-tucker-1,1989,Northern Illinois,Ind,,DB,11,,,,,,2,0,0.0,0,,,,,
demond-tucker-1,2015,Iowa State,Big 12,JR,DL,11,18,10,28,13.0,6.0,0,0,,0,0,0,,,1
demond-tucker-1,2016,Iowa State,Big 12,SR,DL,12,20,25,45,4.0,0.0,0,0,,0,1,0,,,0
jyles-tucker-1,2003,Wake Forest,ACC,FR,DL,11,,,,,,0,0,,0,,1,12,1,
jyles-tucker-1,2004,Wake Forest,ACC,SO,DL,9,,,,,,1,43,43.0,0,,,,,
jyles-tucker-1,2005,Wake Forest,ACC,JR,DL,8,8,7,15,3.0,1.0,0,0,,0,3,0,0,0,0
jyles-tucker-1,2006,Wake Forest,ACC,SR,DL,14,20,15,35,6.5,6.0,0,0,,0,3,0,0,0,0
