player_id,position,games,gamestarts,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_per_g,rec_yds_per_g,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_yds_per_g,Component_1,Component_2,Component_3,Component_4,kmeans_pca_cluster
JarrDw00,WR,32,3,68,35,428,13.899999999999999,1,1.0000000000000002,12.999999999999998,6.550000000000001,1,11,0,2.75,0.4,-1.4113889989950212,0.0994405678992923,0.9808697352695314,0.16246180582570757,1
JeffAl00,WR,109,97,827,475,6786,14.744444444444447,46,4.155555555555555,59.32222222222222,8.177777777777777,23,140,1,1.5666666666666667,0.9888888888888887,5.315380091562007,-0.12765373755665707,0.17445367336850642,-0.33280638147710495,0
JeffJu00,WR,24,22,193,134,2032,14.8,11,5.65,83.25,10.25,2,13,0,6.5,0.75,2.0800022943585885,-0.2477034750958711,3.382308403618713,2.524817698382921,3
JeffVa00,WR,25,9,77,46,653,13.8,4,2.1,30.950000000000003,8.25,1,-1,0,-0.5,-0.05,-0.8100389624784803,-0.6028130937256729,1.5231652974043204,-0.4354818252972617,3
JenkA.00,WR,28,3,33,17,223,8.866666666666667,0,0.5,6.133333333333333,4.6000000000000005,4,4,0,0.6666666666666666,0.06666666666666667,-2.2070077288013117,0.10872226607509496,-0.5034828368694916,-0.06958345788210384,1
JenkMi00,WR,130,79,630,354,4427,12.922222222222222,25,2.777777777777778,34.86666666666667,7.011111111111111,2,4,0,0.4444444444444444,0.022222222222222223,2.6931332368874368,-1.4014628236075803,-0.46788530729701305,-0.3919848459910975,0
JennAd00,WR,52,2,10,6,62,2.575,1,0.1,0.975,2.575,1,-4,0,-1.0,-0.075,-2.7809686244000704,0.044282378517191495,-2.2942445795681543,-0.0865403253909892,1
JennGr00,WR,143,119,969,571,8291,14.030000000000001,64,4.05,57.720000000000006,8.259999999999998,1,-1,0,-0.1,-0.01,5.950499596470356,-2.4786771500263303,-0.6232024499028169,-0.29896285407530476,0
JennJa00,WR,7,0,6,3,31,10.3,1,0.4,4.4,5.2,0,0,0,0.0,0.0,-2.437986550777055,-0.06333791665383919,-0.04324449248311429,-0.3074440021093113,1
JernJe00,WR,34,4,61,38,391,6.325,2,1.2999999999999998,11.075,4.025,4,61,1,8.125,0.875,-1.3415771132470806,1.8180129623084214,-0.5465313299942647,2.017479044919864,1
JeudJe00,WR,19,15,132,68,1036,13.9,3,4.3,56.75,8.55,1,0,0,0.0,0.0,0.2856618345940272,-0.7687220758475691,2.1754172947037893,0.43160125335740757,3
JohnAn02,WR,193,187,1739,1062,14185,13.114285714285714,70,5.350000000000001,71.72142857142856,7.9071428571428575,23,54,0,1.8142857142857143,0.31428571428571433,10.281504329866975,-2.6126960439842724,-2.102466420408508,0.14792910927414285,0
JohnBe00,WR,50,9,80,39,606,16.15,4,0.7750000000000001,11.899999999999999,8.45,7,4,0,-1.5,0.12499999999999997,-1.1509261742789372,-0.4893464312111512,1.3539750746602521,-1.542053514359504,3
JohnBr02,WR,139,74,636,314,3938,12.777777777777777,16,2.2666666666666666,28.199999999999996,6.322222222222222,5,-8,0,-0.5555555555555556,-0.055555555555555566,2.0742469374237587,-1.3346374753589656,-0.7787817605255756,-0.8133328714567758,3
JohnCa00,WR,135,130,1312,731,11619,15.833333333333334,83,5.4,85.75555555555555,8.744444444444444,19,167,1,4.677777777777778,1.2666666666666666,9.120694139126073,-0.7663392379115888,-0.06185545751669516,0.8257025234881767,0
JohnCh01,WR,166,135,1372,766,11059,14.427272727272726,67,4.527272727272727,64.94545454545454,7.854545454545455,24,175,0,3.536363636363636,0.990909090909091,8.272994658716158,-1.1491637631074327,-1.0435636828642028,0.34479989716564863,0
JohnCh08,WR,39,17,109,60,834,13.666666666666666,2,1.5666666666666667,21.866666666666664,8.066666666666666,1,-11,0,-3.6666666666666665,-0.3,-1.0524091567160914,-1.0168075052093875,0.9632676400870772,-1.5472799187028867,3
JohnCo01,WR,21,0,50,28,361,12.0,2,1.35,16.049999999999997,6.75,0,0,0,0.0,0.0,-1.6171585860492015,-0.3027657029767726,0.7392658881059991,-0.3092504739542638,1
JohnDa05,TE,98,37,43,31,304,8.642857142857142,1,0.37142857142857144,4.114285714285715,5.357142857142857,2,4,0,0.2857142857142857,0.04285714285714286,-1.472505740577007,-0.2126441041321637,-0.9681458135624567,-0.6414269460675246,1
JohnDi01,WR,38,31,305,192,2133,11.266666666666666,15,5.333333333333333,59.9,7.166666666666667,10,92,0,9.1,2.9,2.1415364454808676,1.2172327291267102,1.6647779758057917,3.3605648881275654,3
JohnEr00,TE,71,59,358,240,2178,8.92,9,3.3200000000000003,30.1,5.94,0,0,0,0.0,0.0,0.7827563012352866,-0.8908505334658777,-0.5302738388179539,0.22270652365887872,3
JohnJa01,WR,6,0,1,1,9,9.0,0,0.2,1.5,9.0,0,0,0,0.0,0.0,-2.348576186280687,-0.13377301888327733,0.6982544226757907,-0.6835703826017526,1
JohnKe07,WR,18,5,65,36,360,10.2,1,2.0,20.15,6.0,1,3,0,1.5,0.15,-1.4183324340764851,-0.06134973487961621,0.46976193894227475,0.46716644220382786,1
JohnMa04,WR,2,0,5,1,6,6.0,0,0.5,3.0,1.2,0,0,0,0.0,0.0,-2.9500317151431594,0.19736608732489955,-1.7035941747449468,0.42315482382151576,1
