,age,team,g,gs,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,player_id,position,snaps_played,total_snaps,snap_played_percentage,def_targets,def_cmp,def_cmp_perc,def_cmp_yds,def_yds_per_cmp,def_yds_per_target,def_cmp_td,def_pass_rating,def_tgt_yds_per_att,def_air_yds,def_yac,blitzes,qb_hurry,qb_knockdown,pressures,tackles_missed,tackles_missed_pct
6853,24,MIA,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,16.0,5.0,2.0,0.0,0.0,StanR.00,DB,144.0,1108.0,0.13,,,,,,,,,,,,,,,,,
6854,24,NYJ,14,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4.0,2.0,0.0,0.0,0.0,McDoDe00,DB,50.0,1000.0,0.05,,,,,,,,,,,,,,,,,
6855,24,KAN,7,2,0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,19,17.0,2.0,0.0,0.0,0.0,MitcTe00,DB,240.0,490.0,0.49,,,,,,,,,,,,,,,,,
6856,24,HOU,16,15,4,71.0,1.0,63.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,53,47.0,6.0,1.0,0.0,0.0,JackKa99,DB,1010.0,1063.0,0.95,,,,,,,,,,,,,,,,,
6857,24,TEN,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,JohnRo99,DB,,,,,,,,,,,,,,,,,,,,
6858,24,MIA,16,16,4,28.0,0.0,15.0,9.0,2.0,1.0,2.0,24.0,0.0,1.0,94,73.0,21.0,4.0,4.0,0.0,JoneRe99,DB,1117.0,1117.0,1.0,,,,,,,,,,,,,,,,,
6859,24,TEN,15,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38,29.0,9.0,1.0,0.0,0.0,NickDo20,DB,,,,,,,,,,,,,,,,,,,,
6860,24,CHI,16,14,2,26.0,0.0,15.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,70,53.0,17.0,0.0,0.0,0.0,MannDa21,DB,,,,,,,,,,,,,,,,,,,,
6861,24,CAR,16,0,1,11.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,75,68.0,7.0,4.0,3.0,0.0,MarsRi20,DB,,,,,,,,,,,,,,,,,,,,
6862,24,GNB,14,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,20.0,5.0,0.0,0.0,0.0,MartDe22,DB,,,,,,,,,,,,,,,,,,,,
6863,24,BAL,15,6,1,0.0,0.0,0.0,5.0,0.0,0.0,2.0,74.0,2.0,2.0,37,35.0,2.0,5.0,2.0,0.0,YounTa01,DB,,,,53.0,33.0,62.3,435.0,13.2,8.2,5.0,111.8,8.8,239.0,196.0,40.0,2.0,0.0,4.0,9.0,19.6
