player_id,position,games,gamestarts,def_int,def_int_td,pass_defended,fumbles_forced,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,def_targets,def_cmp,Component_1,Component_2,Component_3,kmeans_pca_cluster
HufaTa00,S,5,0,0,0.0,0.0,0.0,0.0,3,2.0,1.0,0.0,0.0,1.0,1.0,-2.7032150713148972,-0.26087106647966996,0.04111512219456532,0
HuffMa00,DB,41,1,1,1.0,4.0,0.0,1.0,36,25.0,11.0,2.0,1.0,0.0,0.0,-1.8085610030749824,-0.48129270938837665,-0.08565583282089735,0
HuffMi20,DB,125,95,11,0.0,53.0,3.0,5.5,455,376.0,79.0,19.0,6.0,0.0,0.0,3.4254555821193646,-1.2929315389763236,0.7823822062373689,3
HughBr99,DB,31,1,0,0.0,2.0,0.0,0.0,32,28.0,4.0,0.0,0.0,0.0,0.0,-2.3911500763808635,-0.34943088732561733,-0.054144498689547696,0
HughDa99,DB,53,2,1,0.0,7.0,1.0,0.0,105,87.0,18.0,3.0,1.0,0.0,0.0,-1.591623018155122,-0.49828371735129673,0.014778422636567631,0
HughMi00,DB,33,8,3,1.0,16.0,5.0,0.0,101,85.0,16.0,2.0,0.0,145.0,92.0,-0.6274420117295042,2.2852437424336958,-0.42684113306766724,2
HumpMa00,DB,70,52,9,0.0,61.0,12.0,2.5,260,214.0,46.0,12.0,6.0,344.0,190.0,3.118139008893856,5.246516685571056,0.5830737704759464,2
HuntPe20,DB,36,6,3,0.0,11.0,0.0,1.0,69,61.0,8.0,3.0,0.0,0.0,0.0,-1.7745358711670591,-0.45012166851419966,-0.020299986948993366,0
HutcVo20,DB,38,16,2,1.0,9.0,0.0,0.5,157,123.0,34.0,1.0,1.0,0.0,0.0,-1.1658833637812969,-0.522472779908969,-0.2867301331336362,0
HydeMi00,DB,133,103,20,1.0,55.0,4.0,5.0,540,412.0,128.0,16.0,6.0,124.0,76.0,4.949846589571039,0.9704507569690332,0.14987239419503032,1
